iter	Passed	Remaining
836	246966	48095
837	247192	47786
838	247457	47485
839	247706	47182
840	248006	46888
841	248257	46585
842	248495	46279
843	248754	45978
844	249017	45677
845	249441	45406
846	249674	45100
847	249906	44794
848	250228	44504
849	250499	44205
850	250771	43907
851	250995	43600
852	251245	43297
853	251452	42988
854	251710	42687
855	251970	42387
856	252224	42086
857	252530	41794
858	252787	41493
859	253022	41189
860	253251	40884
861	253494	40582
862	253723	40278
863	253989	39979
864	254430	39708
865	254731	39415
866	254963	39112
867	255186	38807
868	255404	38501
869	255639	38198
870	255893	37899
871	256126	37596
872	256378	37296
873	256591	36991
874	256836	36690
875	257084	36390
876	257335	36091
877	257581	35791
878	257852	35495
879	258103	35195
880	258326	34893
881	258540	34589
882	258811	34293
883	259038	33991
884	259391	33706
885	259627	33405
886	259861	33105
887	260151	32811
888	260379	32510
889	260604	32209
890	260832	31908
891	261091	31611
892	261307	31310
893	261531	31009
894	261761	30709
895	262043	30415
896	262284	30117
897	262532	29819
898	262780	29522
899	263012	29223
900	263233	28923
901	263467	28625
902	263727	28329
903	263947	28029
904	264327	27747
905	264572	27450
906	264850	27156
907	265091	26859
908	265333	26562
909	265575	26265
910	265839	25971
911	266068	25673
912	266305	25376
913	266571	25082
914	266801	24784
915	267011	24485
916	267278	24192
917	267530	23897
918	267735	23598
919	267990	23303
920	268301	23013
921	268591	22722
922	268809	22425
923	269079	22132
924	269473	21849
925	269703	21552
926	269942	21257
927	270175	20961
928	270452	20669
929	270710	20376
930	270952	20081
931	271205	19787
932	271455	19493
933	271681	19198
934	271918	18903
935	272235	18614
936	272471	18319
937	272757	18028
938	273013	17735
939	273273	17442
940	273480	17147
941	273714	16852
942	273962	16559
943	274357	16275
944	274625	15983
945	274859	15689
946	275079	15395
947	275317	15101
948	275549	14808
949	275823	14517
950	276079	14224
951	276344	13933
952	276618	13642
953	276895	13351
954	277114	13057
955	277322	12763
956	277588	12472
957	277820	12180
958	278092	11889
959	278332	11597
960	278544	11304
961	278778	11012
962	279025	10720
963	279465	10436
964	279688	10144
965	279937	9852
966	280147	9560
967	280373	9268
968	280689	8979
969	280943	8688
970	281171	8397
971	281390	8105
972	281641	7815
973	281931	7525
974	282132	7234
975	282356	6943
976	282613	6653
977	282879	6363
978	283146	6073
979	283391	5783
980	283631	5493
981	283884	5203
982	284112	4913
983	284487	4625
984	284747	4336
985	285003	4046
986	285266	3757
987	285478	3467
988	285705	3177
989	285920	2888
990	286162	2598
991	286385	2309
992	286597	2020
993	286836	1731
994	287115	1442
995	287351	1154
996	287583	865
997	287848	576
998	288111	288
999	288389	0
